"Protein ID","p2d1","p2d2","p2d3","p2d4","p2d5","p2d6","p2d7","p2d8"
"sp|P62736|ACTA_HUMAN",0.006753336,0.00249161,0.0018539,0.001038031,0.001904747,0.001892307,0.001307773,0.0065522
"sp|P17538|CTRB1_HUMAN",0.002909608,0.001355056,0.002775355,0.001999652,0.001348567,0.001619967,0.001510493,0.001216441
"sp|P05155|IC1_HUMAN",0.000446521,0.000128791,0.002345839,0.00252727,0.001352478,0.003690119,0.001938281,0.002362981
"sp|O14638|ENPP3_HUMAN",0.00037203,0.001258928,0.000833513,0.00225589,0.001218357,0.000127379,0.000479438,0.000160124
"sp|Q92485|ASM3B_HUMAN",0.001705937,0.001421743,0.000528614,0.000599971,0.000761201,0.000906829,0.0004535,0.001186509
"sp|P20933|ASPG_HUMAN",0.00131609,0.001403265,0.001064204,0.001920013,0.000803037,0.00096008,0.000904103,0.001037072
"sp|Q16820|MEP1B_HUMAN",0.000259926,0.00083096,0.001338282,0.000944973,0.001245502,0.001682204,0.000810665,0.000913115
"sp|P01833|PIGR_HUMAN","5.68035E-05",0,0,"5.12237E-05",0.000122747,0.000543478,"3.98795E-05","5.35686E-05"
"tr|Q6MZW0|Q6MZW0_HUMAN",0.000539961,0.000191996,0.000341838,0.000305604,0.000711034,0.000661881,0.000648327,0.000474016
"sp|Q92820|GGH_HUMAN",0.000839464,0.000714846,0.000424837,0.000924386,0.000730335,0.00108422,0.000434153,0.000748421
"sp|P01596|KV104_HUMAN",0.003831551,0,0,0,0.002105114,0.003580883,0.00243463,0.004298235
"sp|P02794|FRIH_HUMAN",0.001482452,0.001061746,0.000739234,0.002540451,0.001099956,0.001175411,0.002049518,0.003173044
"sp|Q8WWA0|ITLN1_HUMAN",0.001711883,0.002277392,0.001392797,0.003238585,0.002363859,0.001909519,0.001025846,0.001391639
"sp|P04207|KV308_HUMAN",0.001951145,0,0,0,0.001308998,0.002454755,0.00118833,0.002473425
"sp|Q9HBB8|CDHR5_HUMAN",0.001272597,0.000727399,0.000806927,0.000580563,0.000375481,0.00020659,0.000397564,0.000736365
"sp|Q6P1J6|PLB1_HUMAN",0.000249858,"4.46403E-05","3.09282E-05","9.42529E-05","8.18652E-05",0,"8.41123E-05",0.000218925
"sp|P12273|PIP_HUMAN",0,0.001773717,0.002523262,0.00309206,0.000175994,0.001094456,0.000209993,0.001782566
"sp|Q9UM22|EPDR1_HUMAN",0.001929484,0.001876194,0.000973498,0.002347805,0.002261507,0.002156059,0.001669404,0.002852119
"sp|Q6P587|FAHD1_HUMAN",0.001635209,0.003318946,0.00214086,0.002880602,0.001104057,0.00255494,0.000921171,0.005632859
"sp|P40879|S26A3_HUMAN",0,"4.27527E-05","2.93924E-05",0,0,0,0,0.000129757
"sp|P40199|CEAM6_HUMAN",0.000668267,0.001130504,0.00026217,0.000735237,0.000405285,0.000348588,"8.91248E-05",0.000353511
"sp|Q12864|CAD17_HUMAN",0.001840458,0.00042719,0.000669409,0.000591864,0.001416827,0.001478137,0.000592355,0
"sp|O43149|ZZEF1_HUMAN",0.00030562,"8.72555E-05",0.000104103,0.0001515,0.000121558,0.000125659,0.000129084,0.000169524
"tr|S6AWF0|S6AWF0_HUMAN",0.001059991,0.001626788,0.000566024,0.001960902,0.001270067,0.001289947,0.001515165,0.001086888
"tr|A0A024R7A5|A0A024R7A5_HUMAN",0.000301233,"7.59837E-05","8.84857E-05","6.07367E-05",0.000152833,0.000111188,0.000138007,0.0002503
"sp|P40198|CEAM3_HUMAN",0.001255021,0.000769714,0.000178942,0.000306817,0.000351858,0.000306031,0.000182872,0.00101766
"sp|P62987|RL40_HUMAN",0.002287587,0.001011573,0.001349911,0.001685422,0.001373015,0.00188328,0.000598061,0.002642047
"sp|P54802|ANAG_HUMAN",0.00014531,0.001436372,0.000839241,0.002117178,0.000550139,"8.96128E-05","9.17119E-05",0.000269309
"sp|P08697|A2AP_HUMAN",0.001112913,0.000394862,0.000596773,0.00015747,0.000590246,0.000746672,0.001091759,0.001753821
"sp|P04406|G3P_HUMAN",0,0,0.000134607,0,0.00032049,0.000188394,"4.60446E-05",0.000238659
"sp|P04433|KV309_HUMAN",0.002358496,0.001407069,0.000915126,0.001535645,0.001971511,0.002059298,0.001930071,0.001369022
"sp|P00915|CAH1_HUMAN",0.004728757,0.001370727,0.000604351,0,0.002019361,0.000537287,0.000940469,0.002903174
"sp|P35030|TRY3_HUMAN",0.003966545,0.004687748,0.004449285,0.000389313,0.003544884,0.002940647,0.001559847,0.001909038
"sp|P01764|HV303_HUMAN",0.001760815,0,0,0,0.001122389,0.001754778,0.000917963,0.0018746
"sp|Q6GPI1|CTRB2_HUMAN",0.000848664,0.000983734,0.000514372,0.000293984,0.002835414,0.004684055,0.000699443,0.000909206
"sp|P20848|A1ATR_HUMAN",0.001187536,0.000845455,0.000646037,0.000647702,0.000584688,0.000600384,0.000764045,0.000811927
"sp|Q14315|FLNC_HUMAN","6.75743E-05",0,0,0,0.000166403,0,"5.61848E-05",0.000351334
"sp|P06681|CO2_HUMAN",0.000184507,0.000172623,0.000629593,0.000157382,0.000437471,0.000530158,0.000573042,0.000158211
"sp|Q9UKX3|MYH13_HUMAN",0.000543806,0.000819509,0.000294077,"8.96537E-05","4.23538E-05","4.66366E-05","4.92202E-05",0.000317858
"sp|P25774|CATS_HUMAN",0.000472347,0.000685769,0.000272467,0.000818998,0.000438232,0.000577948,0.000138649,0.00030134
"sp|P0C7U1|ASA2B_HUMAN",0.001075483,0.001765419,0.000682681,0.001660234,0.001188075,0.0011594,0.001205603,0.001092751
"sp|P04179|SODM_HUMAN",0,0,0.001557472,0,0.000623058,0.005507901,0.001136195,"9.24495E-05"
"sp|Q01459|DIAC_HUMAN",0.000883304,0.00084417,0.00036876,0.000200826,0.000539944,0.000595087,0.00053645,0.001089731
"sp|P02743|SAMP_HUMAN",0.001116862,0.001160189,0.001685198,0.002024398,0.00181311,0.001511176,0.002037812,0.001078304
"sp|P27352|IF_HUMAN",0,0,0.00036051,0,0.00019648,0.000445225,"7.35226E-05",0.00014561
"sp|P00390|GSHR_HUMAN",0.000468814,0.000311482,0.001107818,0,0.000519663,0.000533126,0.000124004,0.000800556
"sp|P62805|H4_HUMAN",0.00134365,0.0025142,0.001380137,0.003021065,0.001721714,0.00219691,0.000631656,0.00115082
"sp|P01611|KV119_HUMAN",0.001707697,0,0,0,0.000522097,0.001603181,0.001135516,0.001841904
"tr|Q6PJF2|Q6PJF2_HUMAN",0.000683508,0,0,0,0.000826777,0.00065634,0.000717143,0.000762062
"sp|Q9HBA9|FOH1B_HUMAN",0.003082151,0.002050609,0.001752075,0.000753597,0.002570472,0.000445547,0,"4.35097E-05"
"sp|P01614|KV201_HUMAN",0.001771037,0.001967822,0.002614483,0.003402937,0.00170463,0.002479591,0.002255565,0.001390447
"tr|A0A068LKQ0|A0A068LKQ0_HUMAN",0.000723298,0,0,0,0.00109433,0.001127041,0.000766473,0.001828745
"sp|P49748|ACADV_HUMAN",0.000354362,"4.93612E-05",0.000103406,0,0.000233768,0.000334011,0.000145632,0.000705473
"sp|P10253|LYAG_HUMAN",0,0.000203652,0.000481514,0.000858258,0.000437273,0.00048347,0.000360249,0
"sp|P12955|PEPD_HUMAN",0,0,0.000624885,0.00011815,0.000193749,0.000904062,0.000162869,0.000403254
"sp|P24158|PRTN3_HUMAN",0.001238168,0.002145701,0.00226678,0.003568332,0.001564612,0.000840236,0.002116924,0.000859606
